date,product,revenue,customer_id
2026-02-15 14:20:20.977264,Product B,141.9,82
2026-02-15 14:20:20.977264,Product C,114.46,178
2026-02-16 14:20:20.977264,Product A,227.79,42
2026-02-16 14:20:20.977264,Product B,174.41,60
2026-02-16 14:20:20.977264,Product C,63.07,129
2026-02-17 14:20:20.977264,Product A,207.8,99
2026-02-17 14:20:20.977264,Product B,173.45,131
2026-02-17 14:20:20.977264,Product C,91.44,116
2026-02-18 14:20:20.977264,Product A,231.96,164
2026-02-18 14:20:20.977264,Product B,391.97,99
2026-02-18 14:20:20.977264,Product C,125.42,146
2026-02-19 14:20:20.977264,Product A,205.24,189
2026-02-19 14:20:20.977264,Product B,113.49,161
2026-02-19 14:20:20.977264,Product C,99.85,128
2026-02-20 14:20:20.977264,Product A,188.5,195
2026-02-20 14:20:20.977264,Product B,174.66,115
2026-02-20 14:20:20.977264,Product C,156.9,22
2026-02-21 14:20:20.977264,Product A,226.36,21
2026-02-21 14:20:20.977264,Product B,142.81,28
2026-02-21 14:20:20.977264,Product C,125.5,48
2026-02-22 14:20:20.977264,Product A,211.83,35
2026-02-22 14:20:20.977264,Product B,149.65,6
2026-02-22 14:20:20.977264,Product C,105.72,37
2026-02-23 14:20:20.977264,Product A,196.28,99
2026-02-23 14:20:20.977264,Product B,172.21,116
2026-02-23 14:20:20.977264,Product C,74.6,67
2026-02-24 14:20:20.977264,Product A,154.55,25
2026-02-24 14:20:20.977264,Product B,182.89,174
2026-02-24 14:20:20.977264,Product C,89.94,32
2026-02-25 14:20:20.977264,Product A,165.57,130
2026-02-25 14:20:20.977264,Product B,191.69,104
2026-02-25 14:20:20.977264,Product C,132.49,170
2026-02-26 14:20:20.977264,Product A,231.61,99
2026-02-26 14:20:20.977264,Product B,169.7,135
2026-02-26 14:20:20.977264,Product C,56.92,173
2026-02-27 14:20:20.977264,Product A,183.32,143
2026-02-27 14:20:20.977264,Product B,146.17,66
2026-02-27 14:20:20.977264,Product C,156.69,186
2026-02-28 14:20:20.977264,Product A,179.73,125
2026-02-28 14:20:20.977264,Product B,154.5,170
2026-02-28 14:20:20.977264,Product C,104.23,54
2026-03-01 14:20:20.977264,Product A,140.25,60
2026-03-01 14:20:20.977264,Product B,162.78,5
2026-03-01 14:20:20.977264,Product C,136.31,94
2026-03-02 14:20:20.977264,Product A,195.46,55
2026-03-02 14:20:20.977264,Product B,146.78,58
2026-03-02 14:20:20.977264,Product C,85.41,117
2026-03-03 14:20:20.977264,Product A,195.93,129
2026-03-03 14:20:20.977264,Product B,126.19,1
2026-03-03 14:20:20.977264,Product C,53.54,89
2026-03-04 14:20:20.977264,Product A,189.71,117
2026-03-04 14:20:20.977264,Product B,158.13,69
2026-03-04 14:20:20.977264,Product C,167.34,195
2026-03-05 14:20:20.977264,Product A,178.08,185
2026-03-05 14:20:20.977264,Product B,111.6,69
2026-03-05 14:20:20.977264,Product C,91.58,197
2026-03-06 14:20:20.977264,Product A,181.88,176
2026-03-06 14:20:20.977264,Product B,133.52,101
2026-03-06 14:20:20.977264,Product C,132.9,10
2026-03-07 14:20:20.977264,Product A,200.05,4
2026-03-07 14:20:20.977264,Product B,172.68,80
2026-03-07 14:20:20.977264,Product C,93.93,84
2026-03-08 14:20:20.977264,Product A,201.83,178
2026-03-08 14:20:20.977264,Product B,118.97,171
2026-03-08 14:20:20.977264,Product C,106.13,67
2026-03-09 14:20:20.977264,Product A,215.04,29
2026-03-09 14:20:20.977264,Product B,181.82,95
2026-03-09 14:20:20.977264,Product C,87.44,81
2026-03-10 14:20:20.977264,Product A,196.66,93
2026-03-10 14:20:20.977264,Product B,132.32,114
2026-03-10 14:20:20.977264,Product C,125.49,157
2026-03-11 14:20:20.977264,Product A,197.3,164
2026-03-11 14:20:20.977264,Product B,134.82,152
2026-03-11 14:20:20.977264,Product C,46.37,152
2026-03-12 14:20:20.977264,Product A,163.38,37
2026-03-12 14:20:20.977264,Product B,172.93,99
2026-03-12 14:20:20.977264,Product C,66.67,17
2026-03-13 14:20:20.977264,Product A,190.22,141
2026-03-13 14:20:20.977264,Product B,247.62,177
2026-03-13 14:20:20.977264,Product C,87.66,128
2026-03-14 14:20:20.977264,Product A,229.52,111
2026-03-14 14:20:20.977264,Product B,183.71,53
2026-03-14 14:20:20.977264,Product C,164.3,57
2026-03-15 14:20:20.977264,Product A,254.41,9
2026-03-15 14:20:20.977264,Product B,162.14,145
2026-03-15 14:20:20.977264,Product C,87.0,122
2026-03-16 14:20:20.977264,Product A,206.11,29
2026-03-16 14:20:20.977264,Product B,106.56,71
2026-03-16 14:20:20.977264,Product C,57.78,132
2026-03-17 14:20:20.977264,Product A,239.8,108
2026-03-17 14:20:20.977264,Product B,121.37,91
2026-03-17 14:20:20.977264,Product C,76.25,173
2026-03-18 14:20:20.977264,Product A,412.1,126
2026-03-18 14:20:20.977264,Product B,159.68,92
2026-03-18 14:20:20.977264,Product C,75.18,191
2026-03-19 14:20:20.977264,Product A,174.59,117
2026-03-19 14:20:20.977264,Product B,148.64,44
2026-03-19 14:20:20.977264,Product C,101.37,80
2026-03-20 14:20:20.977264,Product A,211.68,164
2026-03-20 14:20:20.977264,Product B,164.21,49
2026-03-20 14:20:20.977264,Product C,101.63,159
2026-03-21 14:20:20.977264,Product A,243.1,74
2026-03-21 14:20:20.977264,Product B,128.95,102
2026-03-21 14:20:20.977264,Product C,165.69,92
2026-03-22 14:20:20.977264,Product A,175.75,136
2026-03-22 14:20:20.977264,Product B,180.98,41
2026-03-22 14:20:20.977264,Product C,45.7,155
2026-03-23 14:20:20.977264,Product A,210.25,157
2026-03-23 14:20:20.977264,Product B,206.29,35
2026-03-23 14:20:20.977264,Product C,122.26,56
2026-03-24 14:20:20.977264,Product A,244.3,109
2026-03-24 14:20:20.977264,Product B,140.71,146
2026-03-24 14:20:20.977264,Product C,64.91,177
2026-03-25 14:20:20.977264,Product A,241.17,59
2026-03-25 14:20:20.977264,Product B,129.67,161
2026-03-25 14:20:20.977264,Product C,26.43,55
2026-03-26 14:20:20.977264,Product A,172.96,197
2026-03-26 14:20:20.977264,Product B,195.49,83
2026-03-26 14:20:20.977264,Product C,109.37,78
